"Source:","C:\Users\carst\Documents\KiCad\7.0\projects\adin1110-featherwing\adin1110-featherwing.kicad_sch"
"Date:","8/16/2023 10:26:20 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Users\carst\Documents\KiCad\7.0\shulltronics_kicad_library\shulltronics_kicad_plugins/shulltronics_bom_gen.py"
"Component Count:","54"

"Collated Components:"

"Item","Reference(s)","Qty","Distributor","Dist. PN","Value","SPN","Val"
"1","C1, C2, C3, C6, C8","5","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3089)","","3089_Capacitor_100n_16V_0402","3089","100n"
"2","C4, C5","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4055)","","4055_Capacitor_10pF_50V_0402","4055","10pF"
"3","C7","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4013)","","4013_Capacitor_1u_16V_0402","4013","1u"
"4","C9, C10","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4059)","","4059_Cap_220nF_50V_0603","4059","220n"
"5","C11","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4063)","","4063_Capacitor_100n_50V_0402","4063","100n"
"6","C12","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4061)","","4061_Capacitor_470nF_100V_0805","4061","470n"
"7","C13","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4062)","","4062_Capacitor_1nF_2kV_1206","4062","1000p"
"8","C14","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4069)","","4069_Capacitor_3.3n_50V_0402","4069","3.3n"
"9","J1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4039)","","4039_Header_Male_Vert_16pin_0.1in","4039",""
"10","J2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4040)","","4040_Header_Male_Vert_12pin_0.1in","4040",""
"11","J3","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4060)","","4060_TerminalBlock_NoScrew","4060",""
"12","J4","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4067)","","~","4067",""
"13","JP1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{INT}","",""
"14","JP2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{RST}","",""
"15","JP3","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{CS}","",""
"16","JP4","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{TX2P4_EN}","",""
"17","JP5","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","SPI_CFG1","",""
"18","JP6","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{SWPD_EN}","",""
"19","JP7","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","~{MS_SEL}","",""
"20","R1, R2","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4066)","","4066_Resistor_SMD_10k2_0.1W_1%_0603","4066","10k2"
"21","R3, R19","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4065)","","4065_Resistor_SMD_1k5_0.10W_1%","4065","1k5"
"22","R4, R7","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4053)","","4053_Resistor_SMD_49.9_0.125W_1%","4053","49.9"
"23","R5, R6","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4009)","","4009_Resistor_SMD_5k1_0.10W_1%","4009","5k1"
"24","R8, R10, R11, R13, R15, R16, R18, R20","8","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4064)","","4064_Resistor_SMD_4k7_0.10W_1%","4064","4k7"
"25","R9, R12, R14, R17","4","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4038)","","4038_Resistor_SMD_100_0.125W_1%","4038","100"
"26","R21","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4008)","","4008_Resistor_SMD_10k_0.125W_1%","4008","10k"
"27","SW2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4012)","","RST","4012",""
"28","T1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4057)","","4057_Super_Tiny_Signal_Transformer","4057",""
"29","U1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=)","","4052_ADIN1110","",""
"30","U2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4058)","","4058_TVS_2CH_Super_Speed","4058",""
"31","U3","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4044)","","LED0","4044",""
"32","U4","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4044)","","LED1","4044",""
"33","U5","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4044)","","LINK","4044",""
"34","Y1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4056)","","4056_Crystal_25MHz","4056","25.00MHz"
